Round,Circuit,Rider,Qual_Best_Lap,Race_Best_Lap,QRD,Qual_Laps,Race_Laps,Status
1,QAT,Alex,111.898,112.978,-1.08,2,22,Finished
1,QAT,Brad,113.248,113.452,-0.204,2,22,Finished
1,QAT,Fabio,112.188,113.349,-1.161,3,6,DNF
1,QAT,Francesco,112.103,113.318,-1.215,7,34,Finished
1,QAT,Jorge,111.762,113.54,-1.778,3,22,Finished
1,QAT,Luca,112.352,113.312,-0.96,2,27,Finished
1,QAT,Raul,112.348,114.032,-1.684,4,22,Finished
2,ARG,Aleix,106.878,108.183,-1.305,10,5,DNF
2,ARG,Alex,106.635,105.844,0.791,4,30,Finished
2,ARG,Fabio,107.122,106.394,0.728,3,48,Finished
2,ARG,Franco,103.881,106.905,-3.024,13,5,DNF
2,ARG,Johann,106.463,106.312,0.151,15,12,DNF
2,ARG,Jorge,108.209,106.892,1.317,3,5,DNF
2,ARG,Luca,107.232,107.202,0.03,4,5,DNF
2,ARG,Marco,104.053,105.51,-1.457,15,12,DNF
2,ARG,Takaaki,106.588,106.52,0.068,3,44,Finished
3,AME,Alex,122.052,123.471,-1.419,4,2,DNF
3,AME,Brad,122.749,123.888,-1.139,13,7,DNF
3,AME,Francesco,121.892,123.202,-1.31,7,15,DNF
3,AME,Jack,123.084,124.738,-1.654,6,6,DNF
3,AME,Johann,123.062,124.328,-1.266,6,2,DNF
3,AME,Luca,122.181,123.35,-1.169,5,31,Finished
5,FRA,Aleix,91.173,92.416,-1.243,3,16,DNF
5,FRA,Alex,91.888,91.906,-0.018,3,20,DNF
5,FRA,Augusto,91.275,92.164,-0.889,5,12,DNF
5,FRA,Jack,90.705,92.475,-1.77,10,11,DNF
5,FRA,Johann,91.298,91.907,-0.609,9,16,DNF
5,FRA,Jorge,90.763,92.131,-1.368,12,16,DNF
5,FRA,Luca,91.12,92.393,-1.273,6,4,DNF
5,FRA,Marco,91.445,91.855,-0.41,7,16,DNF
6,ITA,Alex,105.007,106.807,-1.8,9,14,DNF
6,ITA,Francesco,104.855,106.807,-1.952,6,8,DNF
6,ITA,Johann,105.627,107.012,-1.385,5,25,Finished
7,CAT,Alex,99.368,100.719,-1.351,6,45,Finished
7,CAT,Brad,99.057,100.682,-1.625,12,11,DNF
7,CAT,Fabio,99.575,100.524,-0.949,6,68,Finished
7,CAT,Jorge,98.743,100.343,-1.6,14,36,Finished
8,NED,Aleix,92.227,93.289,-1.062,9,19,DNF
8,NED,Alex,91.898,93.097,-1.199,12,20,DNF
8,NED,Brad,91.533,93.333,-1.8,15,9,DNF
8,NED,Fabio,91.472,94.649,-3.177,16,3,DNF
8,NED,Jack,92.715,100.963,-8.248,3,1,DNF
8,NED,Johann,92.174,94.522,-2.348,7,2,DNF
8,NED,Jorge,91.382,93.887,-2.505,9,9,DNF
8,NED,Miguel,93.201,93.68,-0.479,3,17,DNF
9,GER,Aleix,81.445,81.753,-0.308,4,25,Finished
9,GER,Alex,82.657,81.764,0.893,5,27,Finished
9,GER,Brad,83.644,81.707,1.937,4,16,DNF
9,GER,Enea,82.013,81.981,0.032,2,16,DNF
9,GER,Fabio,82.639,81.743,0.896,2,40,Finished
9,GER,Francesco,84.285,81.753,2.532,2,4,DNF
9,GER,Johann,81.409,81.725,-0.316,10,11,DNF
9,GER,Jorge,82.561,81.3,1.261,9,22,Finished
9,GER,Marco,81.487,81.411,0.076,9,29,Finished
10,AUT,Aleix,88.786,90.52,-1.734,3,18,DNF
10,AUT,Alex,88.576,90.222,-1.646,9,16,DNF
10,AUT,Fabio,88.829,90.557,-1.728,10,34,Finished
10,AUT,Jack,88.539,91.517,-2.978,10,12,DNF
10,AUT,Johann,88.951,90.395,-1.444,2,46,Finished
10,AUT,Jorge,89.005,90.343,-1.338,3,17,DNF
10,AUT,Luca,88.653,90.204,-1.551,7,36,Finished
10,AUT,Marco,88.972,90.067,-1.095,7,15,DNF
10,AUT,Miguel,89.245,93.003,-3.758,5,1,DNF
11,GBR,Aleix,138.622,122.113,16.509,3,2,DNF
11,GBR,Augusto,135.359,123.435,11.924,4,1,DNF
11,GBR,Brad,136.677,120.208,16.469,7,31,Finished
11,GBR,Francesco,136.317,121.825,14.492,9,2,DNF
11,GBR,Franco,136.885,120.979,15.906,6,20,DNF
11,GBR,Jack,135.629,122.411,13.218,2,2,DNF
11,GBR,Johann,136.661,120.451,16.21,5,35,Finished
11,GBR,Jorge,135.771,120.981,14.79,9,12,DNF
11,GBR,Luca,140.878,120.339,20.539,5,19,DNF
11,GBR,Marco,148.941,120.563,28.378,1,13,DNF
12,RSM,Aleix,91.179,92.197,-1.018,10,9,DNF
12,RSM,Alex,91.367,92.134,-0.767,2,13,DNF
12,RSM,Brad,91.277,92.115,-0.838,9,13,DNF
12,RSM,Dani,87.688,92.166,-4.478,15,13,DNF
12,RSM,Jorge,90.39,91.926,-1.536,15,16,DNF
12,RSM,Luca,90.568,92.166,-1.598,11,39,Finished
12,RSM,Marc,91.223,92.387,-1.164,15,5,DNF
12,RSM,Miguel,92.493,91.876,0.617,2,36,Finished
12,RSM,Raul,143.496,92.176,51.32,1,5,DNF
14,JPN,Aleix,102.264,113.298,-11.034,12,5,DNF
14,JPN,Brad,99.307,117.824,-18.517,16,11,DNF
14,JPN,Fabio,100.676,113.832,-13.156,13,12,DNF
14,JPN,Johann,104.376,117.546,-13.17,3,9,DNF
14,JPN,Marc,103.851,113.087,-9.236,3,10,DNF
14,JPN,Marco,103.198,114.44,-11.242,14,5,DNF
14,JPN,Pol,103.097,114.783,-11.686,5,21,Finished
14,JPN,Raul,103.812,118.211,-14.399,10,11,DNF
15,AUS,Brad,88.082,89.195,-1.113,4,13,DNF
15,AUS,Enea,86.452,89.543,-3.091,9,51,Finished
15,AUS,Fabio,88.212,89.218,-1.006,1,30,Finished
15,AUS,Francesco,87.714,89.566,-1.852,4,16,DNF
15,AUS,Jack,88.696,89.725,-1.029,3,5,DNF
15,AUS,Jorge,87.246,88.823,-1.577,6,17,DNF
15,AUS,Marco,89.051,89.736,-0.685,3,19,DNF
15,AUS,Pol,88.012,89.786,-1.774,3,5,DNF
16,THA,Alex,89.6,91.437,-1.837,5,14,DNF
16,THA,Augusto,89.701,91.15,-1.449,14,28,Finished
16,THA,Brad,89.425,90.95,-1.525,12,19,DNF
16,THA,Fabio,90.034,91.208,-1.174,5,27,Finished
16,THA,Francesco,89.527,90.899,-1.372,14,14,DNF
16,THA,Marc,89.923,90.896,-0.973,6,20,DNF
16,THA,Marco,89.287,91.613,-2.326,14,9,DNF
18,VAL,Aleix,89.261,90.543,-1.282,2,44,Finished
18,VAL,Brad,89.023,90.145,-1.122,9,13,DNF
18,VAL,Fabio,89.223,90.266,-1.043,6,29,Finished
18,VAL,Jack,88.931,90.807,-1.876,11,19,DNF
18,VAL,Jorge,89.182,90.154,-0.972,12,5,DNF
18,VAL,Marc,89.275,90.414,-1.139,9,5,DNF
18,VAL,Raul,90.384,90.517,-0.133,1,17,DNF
